Wind_max,Wind_mittel,Schneehöhe,Bedeckungsgrad,Dampfdruck,Luftdruck,Temp_mittel,rel_Feuchte,Temp_max_2m,Temp_min_2m,Temp_min_5cm
11.2,4.4,0,2.7,5.1,987.4,1.6,73.0,4.5,0.1,-0.8
9.5,3.5,0,0.0,9.5,979.2,19.2,44.0,23.7,11.6,6.5
12.0,5.3,0,0.3,6.7,984.9,14.7,41.0,19.9,7.6,5.0
12.8,5.4,0,6.7,9.6,980.3,6.0,97.0,8.9,4.1,7.6
3.2,0.6,0,8.0,11.5,974.6,10.2,93.0,11.8,8.2,8.2
14.4,7.3,0,1.0,3.2,987.2,-0.4,54.0,3.0,-4.4,-5.4
18.4,5.8,0,5.0,9.8,979.1,9.3,82.0,12.3,8.2,8.9
5.2,1.6,0,7.7,6.1,974.7,0.8,94.0,2.6,-0.1,-0.6
6.9,2.7,0,7.0,17.3,975.5,18.4,83.0,24.0,12.5,9.7
16.5,7.2,0,8.0,8.4,983.5,4.5,98.0,9.0,0.1,0.0
6.0,1.2,0,6.3,9.1,979.8,13.0,64.0,17.1,4.9,0.8
5.5,0.8,0,7.7,7.8,975.4,3.5,97.0,5.4,2.3,2.0
15.0,3.6,0,7.3,6.9,985.6,6.1,74.0,9.0,1.9,-0.2
9.5,3.4,0,7.4,13.0,965.6,13.6,84.0,15.4,12.0,9.5
10.0,3.4,1,5.3,6.7,954.5,6.1,72.0,10.6,2.0,-1.0
8.1,3.4,0,5.0,7.6,993.9,11.3,60.0,18.8,5.5,2.3
4.2,1.9,0,2.9,12.8,985.1,15.4,76.0,23.5,8.3,5.5
8.0,1.5,0,6.0,5.5,974.4,2.2,75.0,8.6,-1.6,-4.9
17.3,7.0,0,6.3,11.7,971.85,10.5,92.04,13.1,8.3,6.2
7.8,2.9,0,2.0,12.7,983.7,15.1,74.0,20.8,9.6,6.2
10.7,4.1,0,5.3,5.7,977.2,0.4,91.0,4.3,-0.2,-2.2
10.6,5.0,0,8.0,6.7,953.2,2.5,93.0,3.6,0.5,-0.1
7.6,3.3,0,5.3,13.6,978.7,18.0,67.0,22.3,14.2,10.6
8.0,3.5,0,1.9,12.4,983.1,17.4,64.71,23.2,11.3,10.0
7.4,1.9,0,3.7,15.8,975.7,25.1,50.0,30.6,18.7,13.3
13.5,5.2,0,6.0,14.4,982.2,16.1,79.0,20.9,13.7,12.1
7.2,3.1,4,0.7,3.3,987.2,-5.2,79.0,-0.4,-8.8,-11.3
9.8,2.3,0,6.3,6.6,990.4,4.4,81.0,7.6,0.0,-0.4
13.4,4.8,3,8.0,5.7,977.4,-0.2,97.0,0.1,-3.0,-7.4
8.0,1.8,0,3.6,8.9,987.1,15.0,55.0,22.2,6.1,2.8
7.8,3.4,6,6.3,3.5,962.2,-3.7,77.0,-0.7,-8.9,-12.8
10.6,4.0,0,4.3,6.0,979.4,5.4,67.0,9.6,1.1,-1.9
6.0,1.6,0,7.0,17.8,978.4,17.1,91.0,18.4,15.7,13.5
9.0,3.1,0,5.3,11.6,981.8,13.7,75.0,17.3,10.7,10.3
8.9,1.9,0,2.3,11.9,977.5,14.0,75.0,19.0,8.5,7.5
4.2,1.4,0,3.7,16.1,974.7,16.2,88.0,19.5,12.8,10.9
7.5,2.4,0,2.7,11.7,981.9,16.9,61.0,23.5,12.2,8.8
9.0,3.3,3,4.7,4.5,986.0,-3.4,90.0,-0.6,-5.4,-4.6
9.4,4.1,0,6.6,17.0,977.1,16.5,90.0,19.7,13.5,12.0
9.5,2.9,0,1.7,5.1,978.3,0.4,79.0,3.8,-0.9,-3.2
9.6,2.9,0,4.3,4.1,982.3,0.6,64.0,4.4,-0.6,-0.5
17.0,4.1,0,7.7,5.0,997.6,0.0,83.0,0.6,-2.1,-4.7
8.1,2.6,0,6.6,5.2,985.0,10.5,43.0,17.0,4.2,-0.8
11.0,4.6,0,0.0,9.1,981.5,12.3,64.0,18.3,5.2,2.5
5.4,1.8,0,6.3,14.8,973.7,19.1,68.0,25.7,14.9,11.2
12.5,3.5,0,2.3,5.6,975.6,6.7,65.0,13.0,-0.9,-3.9
7.9,4.0,0,1.6,9.5,989.13,8.2,88.04,14.0,4.8,3.2
12.0,4.4,0,7.6,10.3,963.2,8.5,93.0,10.7,6.6,5.7
11.0,3.0,0,6.7,12.8,970.2,16.8,67.0,20.6,10.9,9.0
5.1,1.4,0,2.0,15.1,979.0,20.8,64.33,28.6,11.9,9.2
