  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,Bedeckungsgrad, Dampfdruck,  Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
19,6.2,8,0,8,6.3,968,1,94,2,0.6,-0.5
10,3.7,1,0,8,6.9,970.6,2.6,90,5.9,0.7,-0.2
9,4.7,0,0,2,5.2,988,-0.4,86,1.6,-1.2,-0.7
9.2,5.1,0,0,0.3,4.8,991.8,-0.8,84,1.5,-3.7,-4.1
11.5,4.3,0,0,5.3,6.1,988.7,3.2,79,6,-1.4,-2.5
11,6.1,1,0,8,6.4,983.8,1,98,3,0.2,0.9
9,3.7,0,0,3.7,4.7,977.5,-2,85,1.2,-3.4,-2.4
6.6,2.4,7,0,8,4.7,963,-2.3,91,-1.7,-5.4,-7.8
11,4.1,7,0,8,5.1,956.7,-0.7,87,-0.1,-2.3,-2.2
13.5,4.4,8,0,4.3,5.2,957.8,0,86,1.9,-3.1,-3.5
17,6.9,1,2,6,7.3,964,6,80,7.1,0.3,0.2
22,7.2,1,0,5.7,7.9,966.3,8.1,74,10.4,4.6,3.5
9.9,2.7,0,0,5.3,6.9,975.4,3.6,85,8.7,2.9,1.5
8,3.5,1,0,5.3,6.8,973.5,2.8,93,4.4,-1.6,-2.9
13,5.8,1,0,7,7.9,971.4,5,88,6,4,3.9
8,2.6,0,0,3,6.4,978.8,2.6,86,6,0.2,-0.9
4,1,1,0,1.3,5.6,975.1,0.6,89,3.7,-4.3,-4.8
14.8,4,1,0,5.3,6.9,963.9,2.4,92,6.3,-0.8,-3.8
9.1,3.1,1,0,1.3,4.4,975.4,-0.6,76,2.2,-3.7,-6.2
10.5,4.6,1,0,7.3,5.7,976.8,2.1,80,4.2,-1,-2.1
13.5,5.9,8,0,8,6.5,975.8,1.4,97,2.3,-0.5,-1.2
17,8.1,1,0,8,7.6,974.3,4.4,93,5.1,2.1,1.6
18.5,7.3,1,0,7.7,7.1,971.6,4.8,83,5.8,3.6,3.6
17.8,6.4,7,0,6.7,5.6,972.4,0.6,86,4.9,-0.3,0.2
10.5,4.1,0,1,4,4.9,980.6,-1.2,87,0.4,-1.9,-2.1
8.6,3.6,8,1,7.7,5.6,978,-0.1,96,3,-6,-8
15,5.6,1,0,8,7.7,977,4.4,85,7.7,1.5,2
8.5,3.8,1,0,5.3,5.5,986.7,0.8,85,3.5,-1.4,-2.5
6.2,3.3,1,0,8,6.7,979.8,1.9,95,3.2,-0.3,-1
8.8,3.7,7,0,7.3,5.7,974.7,-1.3,95,6.2,-3.8,0.6
15,8,0,0,5,2.3,968.8,-11.5,78,-3.8,-14.5,-7
11.6,5.5,0,0,0,1.1,978.4,-17.7,70,-14.5,-19.6,-19.4
11.8,4.2,7,0,0.7,1.3,986.6,-15,73,-12.7,-20.8,-20.9
9,3.9,7,0,6.7,3.3,990.7,-5.6,85,-3.4,-13,-14.2
7.6,3,7,1,4.7,3.6,993.6,-5.6,85,-2.7,-7,-5.8
5.1,1.7,7,0,7,3.3,993.5,-5.2,81,-3.3,-10.3,-11.3
6,1.6,0,0,5.3,4,988.7,-3.5,86,-2.2,-5.6,-5
7.7,2.8,7,0,2.3,3.3,992.7,-4.8,75,-2,-6.7,-9.5
10.5,2.2,7,0,6.7,3.3,983.6,-4.8,81,-2.1,-10.5,-13.6
17,7.3,0,2,1.3,1.5,981.6,-14,68,-3.4,-15.5,-13.5
17.5,8.1,7,1,1,1.5,979.1,-13,71,-9.8,-19.1,-18.7
19,8,7,0,4.3,1.6,971.1,-12,63,-9.7,-15.8,-16.2
10.6,3.6,7,0,3.3,2,968.3,-10.6,74,-7.6,-16.5,-17.7
3,1.2,7,1,4.7,2.4,961,-10.6,84,-5.2,-13,-14.5
6,1.3,7,7,2,2.3,966.8,-11.4,86,-7.6,-19,-23.9
12,4.1,7,8,8,3.1,966.8,-7.3,87,-4.1,-10,-10.5
3.5,0.6,7,12,2,2.1,972.6,-10.7,80,-5.3,-16.3,-14.8
5.5,0.8,7,10,4.7,2.4,974.3,-9.4,79,-5.5,-14.4,-19.4
8.1,1.8,7,9,0,2.3,971.4,-10.7,80,-7,-14.6,-19.5
5.4,0.7,7,9,5.3,2.3,969,-11.4,83,-8.5,-12.8,-13.5
5.4,0.3,7,9,2.7,2.3,972.4,-11,80,-6.4,-15,-15.7
11,3.6,0,8,0,2.4,971.1,-10.3,83,-5.6,-15.8,-17.3
9,4.5,0,7,2.7,2.8,971.1,-8.8,87,-4.7,-13.2,-14.1
7.5,3.3,7,7,3.7,2.9,974.4,-8.2,85,-4.4,-11.5,-13.3
11.5,6.1,0,7,0,3.5,979,-6.4,89,-3.1,-11.8,-13.5
12,6.4,0,7,0,2.8,979.4,-6,71,-2.2,-11.2,-12.7
11.5,4.9,0,7,3,2.8,978.7,-5.6,70,-1.7,-10.1,-12.1
9,4.3,0,6,1,3.2,982.4,-4.7,75,0.4,-11.2,-12.9
11.6,2.9,8,5,7.7,4.3,985.1,-2.8,87,0.4,-10,-13.4
14,5.5,1,5,8,6.7,984.8,1.8,98,2.9,-1.2,-2
16,6.5,1,0,4,6.5,985.4,4.2,79,7.3,1.6,0.3
17.5,8.7,1,0,8,9.5,975.6,7.6,93,8.5,3,1.9
15,7.3,1,0,8,10.3,975.6,7.9,95,8.8,7.2,6.5
20,7.5,1,0,5,8,973,5.4,84,8.7,3.7,5.5
14,4.2,7,0,4,4.9,982.4,1.6,71,5.4,0.4,-1.4
11.5,3.7,1,0,6.7,5.3,983.5,2.9,73,6.4,-2.6,-4.9
11.7,4.7,1,0,3,5.3,984,1.6,72,6.2,-0.7,1.5
9.5,3.9,0,0,0.3,3.2,991.4,-2.2,63,1.3,-4.5,-5.3
10.6,4.3,0,0,0.7,3.3,988.2,-1.7,64,2.3,-6.6,-6.3
10.1,4.3,0,0,0,3.6,983.2,0.1,60,5.2,-5.7,-7.1
10.5,4.8,7,0,2,3.7,983.8,-1.4,68,2,-3,-4.9
7.7,3.6,7,0,5,4.1,983.5,-2.4,79,-0.4,-3.3,-3.8
9,4.1,7,0,3,4,982.7,-0.2,67,2.8,-5.7,-6.8
5.2,2,7,1,8,4.9,976,-0.4,84,2.6,-2.6,-6.2
8,3.8,0,0,1.3,4.3,970.6,1.7,64,7.4,-3.5,-4.6
6.5,3.6,0,0,1.7,4.8,973.5,4.4,60,10.7,-2.3,-4.6
8,3.9,0,0,4.3,4.4,975.8,6.3,49,12,0,-2.4
8.5,4.4,0,0,3,5.5,972.2,5.9,62,12.2,-0.2,-1.8
8,4.4,0,0,7.7,6.4,967.9,6.7,69,11.4,1.3,0.7
10.2,4.4,1,0,7,6.7,965.1,5.7,73,10.9,2.2,0.5
10.5,4.2,1,0,7,7.1,963.4,9.5,62,12.2,4.6,2.5
8.1,3.2,1,0,7.3,7.9,969.8,5.2,87,10.6,3.5,0.3
12,5.6,1,0,3.7,7.9,967.1,7.1,77,11.6,3.3,1.4
8.5,3.4,0,0,7.3,7.9,963.2,8.9,73,15.7,1,0.3
6.2,2,1,0,8,9.5,968.6,9.3,81,13.4,5.1,1.7
3.5,0.9,1,0,7.7,10.9,975.1,9,95,10.9,7.2,6
8.7,2.3,1,0,7.7,9.2,979.1,9,78,14,6.3,5.4
13.5,6.6,0,0,4.3,6.1,979.4,5.8,69,9.5,0.6,-0.6
11,4.9,0,0,5,7.1,979,9.7,61,14.4,2.5,0.3
5.5,1.2,1,0,7.3,7.6,978.2,12.7,57,18.4,4.2,1.2
6,2,1,0,3,10.3,977.1,10.2,81,15.1,7.7,7.4
12.5,3.2,0,0,7.3,7.1,977.1,5.8,77,10.5,2.2,1
8.3,3.5,0,0,1.3,6.1,981.5,6.5,65,11,2.2,1
12.5,3.5,1,0,2.3,5.6,975.6,6.7,65,13,-0.9,-3.9
9.8,3.4,1,0,6,6,971.1,3.6,75,7.7,2,1.6
7.5,2.9,7,0,6,5.5,965,-0.5,93,1.9,-2.4,-4.5
11.3,3.7,7,2,3.3,4.9,971,-0.7,83,2.5,-2.3,-5.5
9,2.9,0,0,2,3.7,983.9,1,59,4.8,-4.5,-6.7
6.5,1.6,0,0,5,4.5,985.6,2.6,63,6.8,-2.1,-5.5
8,1.7,0,0,2.3,5.2,983.8,8.1,52,13.4,0.1,-3.6
9,2.4,0,0,0.7,6.3,978.6,10.6,51,17.8,2.3,-2.1
9,2.5,1,0,7.7,7.6,974.3,11,59,16,4.9,1.1
9.8,2.2,1,0,8,10.5,971.8,10.4,84,14.8,5.7,4.9
11,5.7,1,0,7.3,10.8,967.2,10.9,84,13.9,9,8.3
9.6,4.2,1,0,8,12.1,960.6,10.8,94,12.3,9.1,8.3
12.2,3.2,1,0,7,11.1,961.8,9.8,91,13.9,9.6,9
11.1,4.8,8,0,8,8.9,964,5.5,95,9.7,4.1,6.3
7.9,2.8,8,0,8,6.4,973.6,2.1,91,4.1,0.4,0
9,2.4,7,0,7.3,5.6,980.2,3.2,73,5.7,1,0
9.1,2.4,8,0,7.3,5.7,982.8,2.5,79,7.2,0.2,-1.5
7.3,1.5,0,0,3,5.5,983.5,4.2,70,9,-1.3,-3.9
8.5,4.4,0,0,1,5.9,975.4,7.3,59,11.7,-0.5,-1.2
13.9,6.3,0,0,5.7,6.4,964.4,8,61,13.2,2.3,1.2
8.7,2.2,0,0,4.7,6.8,966.6,8.1,64,12.7,4.2,3.1
7.4,2.4,0,0,3,6.4,969,8.3,58,13.2,4.8,2.7
11.9,1.5,1,0,6,6.7,968.8,8.3,62,12.8,2,-1.5
7,2.1,1,0,2.3,7.3,965.9,12.2,53,16.6,4.5,2.4
8.1,3.5,0,0,3.7,7.1,962.8,13,50,18.6,6.2,3.9
11.5,3.3,1,0,5.7,9.7,966.2,9.4,81,15.5,6,3.9
10.6,2.5,1,0,7.7,9.5,969.6,8.4,85,12.7,6.8,6.6
9,3.4,1,0,5,6.7,975.2,6.8,67,10.5,4,5.3
7.5,2.5,1,0,6,7.5,979.1,4.6,90,8.4,1.8,-1.2
7.7,1.8,0,0,7,8.9,981.6,9.8,78,14.3,2.8,0.5
8.2,1.5,0,0,2.7,8.7,984.3,10.6,69,15.7,5,1.2
6,1,0,0,1.3,9.2,988.3,13.9,61,19,6.3,2.5
9,2.2,0,0,1,8.8,989.1,16.8,47,21.1,9.5,5.2
6.5,1.8,0,0,0.3,9.5,988,18.5,47,22.9,9.8,6.1
10.6,2.3,0,0,1.7,10.1,987.2,17.8,52,23.8,10.3,6.5
10.2,2.7,0,0,2.3,9.1,987,16,53,21.6,8.5,5.2
7.8,2,1,0,1.3,11.3,983,17.4,57,22.5,8.6,5.3
17.8,5.9,1,0,6,9.5,978.2,10.9,73,16.2,9.6,9.6
7.1,2.7,1,0,7,9.2,982.6,11.6,70,14.1,5.3,3.8
12.4,3.7,1,0,6.7,9.5,980.4,10.5,73,13.3,9.2,8.9
9.5,2.7,0,0,3,8,989.4,10.2,65,13.7,3.5,1.1
4.6,1.3,1,0,6,9.2,989.1,12.9,65,16.5,5.3,2.2
7,2.2,0,0,5,9.2,988.7,13.1,62,16.6,9.8,9
6.7,2.2,0,0,1,9.6,985.9,14.9,57,19.9,7.2,4.1
9.2,2.8,1,0,7,11.1,980.2,12.4,75,20.2,8.4,6.2
9.8,2.4,1,0,7,9.1,975.8,10.7,72,14.9,7.2,7.1
7.1,2.9,1,0,5.3,6.7,975.5,8.8,60,12.5,5.3,3.9
6,2.2,0,0,1.3,6.7,978.8,9.2,58,14.3,2.6,-0.4
8.1,3.9,0,0,1.3,7.2,974.3,12.4,52,17.8,3,0.6
7.4,3,1,0,7,12.3,971.5,16.6,66,21.9,8.2,7.1
5.4,1.9,1,0,5.3,15.6,977.8,15.2,89,19.9,12.8,12.3
12,1.9,1,0,7.7,13.6,976.4,14.7,81,22.4,11.3,10.2
10.9,3.8,1,0,7.7,11.6,975,10.2,92,12.8,9.5,10
9.8,2.1,1,0,3.3,10.3,983.9,12.5,73,18.2,5.5,3.5
10.2,5.4,0,0,1.7,12.3,983.9,16.4,68,22.3,7.6,7
