Wind_mittel,Sonnenscheindauer,Bedeckungsgrad,Luftdruck,Temp_mittel,relative_Feuchte,Niederschlagsform
2.7,10,3.3,978.76,21.5,74.79,0
2.8,12.233,2,980.89,21.1,72.33,0
2.3,12.35,1.2,977.66,22.1,67.25,0
1.2,4.467,6.3,979.65,12.1,89.71,0
3.1,3.367,6.3,980.1,14.1,77.25,0
2.2,11.433,4.1,982.86,11.1,82.08,0
1.3,9.833,5,983.12,12.7,81.33,0
2.1,7.767,3.4,984.52,13.5,81.83,0
2.3,7.467,1.5,983.76,12.8,86.21,0
3.2,10.3,1.8,982.16,12.7,84.54,0
1.9,7.667,3,983.53,13.2,84.63,0
1.5,8.733,2.5,985,13.6,83.58,0
4,5.717,5,982.93,11.5,87.33,0
3.4,1.533,6.8,986.43,9.9,87.21,0
3.4,0.267,6,981.95,12.6,90.54,0
1.5,10.35,0.2,989.68,13.6,86.42,0
1.7,10.017,0,987.83,14.4,83.83,0
1.8,9.5,0.4,986.96,16.4,72.67,0
1.5,9.133,2.3,983.8,15.1,74.21,0
3,9.133,3.1,977.92,13.9,75.08,0
2,5.583,2.5,987.85,4,84.17,0
0.9,8.083,2.8,989.09,4.2,80.58,0
1,8.283,5.6,984.95,7.3,75.58,0
1.8,0.567,6.6,978.23,8.8,88.75,0
2.2,4.383,4.6,983.88,3.3,83.54,0
1.2,4.517,5.3,987.45,1.1,95.71,0
1.9,3.333,6.2,987.93,1.8,92.04,0
4.1,8.233,4.2,974.31,7.7,77.63,0
3.2,0,8,997.65,3,94.54,0
2.3,0,7.7,994.33,3,91.29,0
7.6,0,8,978.82,4.6,92.08,0
7,0,7.5,980.03,4.9,84.79,0
1.4,0.35,7.2,977.5,5.8,93,0
2.1,2.85,5.6,985.71,4.7,89.42,0
4.8,0,6.3,984.48,2.9,80.29,0
4.2,7.4,0.8,981.88,0.6,85.5,0
1.7,7.283,3,974.95,-1.5,82.67,0
1.4,1.183,7.5,980.43,-0.4,81.92,0
2.8,9.367,1.9,975.61,-0.9,69.92,0
2.5,7.95,2.3,987.11,-1.4,87.83,0
1.3,0,7.5,980.99,-0.2,77.13,0
2.4,3.133,6,978.25,-0.1,73.21,0
5.2,9.4,2.6,981.23,0.4,64.92,0
7.2,7.517,1.6,979,-1.1,60.13,0
6.9,9.917,0.3,977.81,-1.8,56.13,0
8.4,10.067,0.5,979.36,-1.5,51.71,0
7,10.267,1.3,983.96,-4.1,44.46,0
7,9.9,2.8,975.46,-7.9,54.33,0
3.4,8.983,5.5,957.66,6.5,76.58,0
3.1,9.283,3.1,972.42,6.4,73.54,0
5,5.667,6.4,970.75,-1.3,67.29,0
2.5,11.533,2.6,988.32,0.3,57.42,0
3.8,9.183,2,963.61,4.6,74.04,0
2.2,9.083,3.5,968.7,6.5,60.54,0
5.2,12.117,1.1,980.19,8,65.04,0
3,10.567,4.2,969.91,16.6,48.58,0
2.7,10.683,2.3,967.67,10.6,68.88,0
4,8.017,5.3,962.8,12.5,68.75,0
1.7,5.417,6.8,975.85,13.7,72.88,0
2.2,9.283,3.2,978.13,12.5,67.67,0
1.3,13.117,3,987.21,13.9,61.13,0
3.8,13.2,3.1,991.29,17.2,51.96,0
3.1,13.35,0.8,988.61,18.8,48.63,0
2,12.217,2.5,985.2,19.4,47.67,0
1.4,13.017,1.9,981.65,19,56.54,0
2.9,9.917,6,980.06,13.4,72.58,0
4.3,6.367,3.9,980.83,8.7,70.46,0
3.6,11.417,4.6,974.27,12.2,59.13,0
4,4.483,5.5,975.75,7.1,69.08,0
1.7,1.633,6.3,975.01,9,68.13,0
2.8,5.433,6.3,977.7,12.1,64.58,0
5.6,13.6,1,981.02,14.6,53.46,0
6,13.767,0.1,982.86,16.4,53.96,0
5,14.35,0,982.83,17.5,49.21,0
4.8,14.433,0.3,979.11,17.7,50,0
4.2,14.467,0,972.6,19,45.17,0
2.4,10.05,3.3,980.3,13.9,70.83,0
2.2,11.417,4.5,980.9,14.6,68.92,0
2.2,13.9,3.5,982.3,12.6,66.83,0
3.5,12.817,3,982.23,13.2,63.29,0
1.5,11.683,5.2,980.52,17.6,75,0
3.2,13,5.7,981.43,21.1,67.13,0
1.8,5.85,4,981.94,17,82.38,0
2.3,14.6,2.7,979.7,19.6,67.29,0
4.1,14.5,2.7,973.35,22.1,62.88,0
2.9,1.383,7,977.97,13.9,73.71,0
1.1,1.55,7.1,979.7,16.9,79.71,0
2.1,10.55,5,978.65,19.3,69.04,0
2.9,4.3,5.7,981.65,16.4,72.04,0
2.4,5.05,5.6,985.2,17,73.5,0
1.9,5.533,4.3,987.02,17.7,79.21,0
4.7,13.017,3.3,981.8,17.8,63.21,0
3.5,8.117,2.8,988.12,11.9,65.46,0
2.2,5.2,5,985.55,16.2,68.58,0
2.3,14.783,1.8,985.3,18.3,64.5,0
4.1,14.167,1.8,984.29,19.7,56,0
4.4,12.683,3.8,981.98,20,54.75,0
3.7,12.833,3.6,978.75,22.4,56.71,0
3.7,15.417,0.3,976.33,23.2,51.54,0
5.7,15.683,0.5,976.82,20.6,39.92,0
4.9,15.45,0.5,976.61,20.7,40.21,0
3,13.5,3.4,978.55,21.5,42.5,0
2.4,10.783,4.5,984.87,20.4,64,0
2.5,14.967,0.8,984.83,19.9,52.79,0
2.4,13,3.3,983.28,19.3,57.54,0
3.3,6.117,5.3,980.2,16,67.5,0
1.8,6.633,4.5,980.67,18.3,67.33,0
1.9,12.783,1.4,982,20.4,61.88,0
2.4,13.283,2.3,980.85,22.1,55.08,0
2.2,12.317,3.5,980.46,21.2,55.04,0
2.4,12.917,3.5,979.77,21.1,53.33,0
3.2,3.667,6.7,975.31,19.6,74.83,0
2.3,9.05,6.1,977.55,20.6,68.08,0
1.7,12.083,1.1,979.99,21.6,63.29,0
2.2,13.933,0.4,977.48,23.8,55.71,0
1.7,13,1.4,977.47,25.4,50.13,0
2.7,14.35,1.4,977.28,26.7,46.33,0
2.3,10.067,4.6,977.46,22.9,59.46,0
1.6,13.3,2.9,978.72,24.5,56.63,0
1.5,12.867,1.3,984.28,22.7,68.92,0
2.8,13.483,0.5,982.49,26.1,55.21,0
1.8,10.35,2.2,980.54,26.7,51.96,0
3.7,13.05,2.8,982.05,25,51.58,0
3.5,14.233,1.4,978.47,24.9,45.96,0
2.9,9.483,4.5,985.69,16.8,59.71,0
3.1,7.567,3.5,979.19,17.4,79.67,0
1.8,5.267,4.5,982.85,17.9,76.25,0
1.4,13.65,2,979,20.8,64.33,0
2.1,13.45,2,984.6,19.3,59.29,0
2.1,13.283,1.7,984.02,19.7,60.33,0
2.3,10.983,2.7,982.74,20.2,69.71,0
1.7,10.4,3.3,982,21.9,64.75,0
2.1,13.117,1.2,979.57,23.4,56.92,0
1.6,11.367,3.8,981.16,16.5,75.71,0
3.8,11.283,1.5,986.25,15,55.88,0
4.2,2.417,5.1,984.28,15.2,65.21,0
2,1.95,7,979.61,16.8,76.25,0
1.2,7.483,4.3,978.9,18.4,74.08,0
1.7,9.017,1.6,978.52,19.9,71.25,0
1.5,12.467,2.3,983.38,13.6,71.08,0
1.4,12.2,4.6,984.09,16.8,60.88,0
2.6,11,5.9,985.22,18.8,59.25,0
2,12.483,3,986.84,18.5,60.71,0
2.2,12.033,1.7,983.21,20.8,54.96,0
2.1,10.217,2,986.7,13.6,69.96,0
2.4,11.367,3.6,984.37,16.3,61.46,0
1.9,12.067,3.8,981.71,18.5,59.63,0
2.1,10.6,2.1,982.15,20.5,67.42,0
2.4,11.1,2.9,980.87,19.6,69.13,0
2.8,8.15,2.5,994.57,9.4,73.04,0
4,11.5,2.2,998.39,8.7,68.58,0
2.2,11.6,4,995.43,10.3,59,0
1.5,11.55,0.1,989.93,13.4,66.33,0
5.4,11.233,4.3,986.83,10.5,56.38,0
2.1,10.983,0.3,988.39,10.7,74.63,0
2.5,11.05,0.5,981.42,13.7,70.54,0
2.7,4.75,3.7,977.91,13.9,79.75,0
2.6,10.117,1.8,982.93,13.1,77.63,0
2.5,8.4,3.6,983.48,13.8,81.54,0
3.9,10.033,0.3,978.63,14.5,80.29,0
3.1,9.367,5,983.82,18.7,67.21,0
1.8,10.433,0.9,982.31,18,65.29,0
2,10.267,1.5,975.23,17.7,65.46,0
2.1,10.033,1,976.48,16.3,63.04,0
2,8.333,2.1,980.78,15.1,66,0
2.5,9.5,5.2,981.08,15.1,68.71,0
4.2,9.317,3.2,982.56,14.5,73.5,0
4,9.467,2.3,984.82,12.6,78.83,0
2.7,8.1,3.8,990.02,11.4,77.42,0
3.6,9.967,0.9,989.07,9.5,70,0
3.8,6.017,3.4,990.75,10.1,69.71,0
4.1,3.5,5.3,990.21,7.4,77.54,0
2.5,6.2,5,984.47,7.9,84.75,0
3.6,8.25,5.8,987.69,7,76.5,0
3.6,6.15,6.4,977.65,9.6,80.42,0
2.5,5,5.3,971.17,9.7,85.5,0
2.5,4.317,6.7,970.51,9.4,85.63,0
4.4,5.567,3.8,988.48,5.2,83.42,0
5.9,8.517,0.1,987.63,4.1,70.46,0
5.4,8.567,0.7,984.58,2.6,60.25,0
6,3.717,6,967.92,1.9,72,0
3.8,0.033,7.2,975.91,0.9,86.33,0
3.2,4.333,4,980.55,1.4,83.92,0
2.3,0.733,4.5,986.07,0.1,95.04,0
2.4,5.3,6,984.36,0.5,90.13,0
5.2,1.317,5,978.7,-0.8,76.88,0
1.7,7.15,1.2,996.51,-0.9,86.54,0
0.9,0,6.1,989,-3.3,94.67,0
2.4,4.1,5.2,980.12,-0.7,79.83,0
3,6.883,2.8,976.67,-2.4,77.13,0
3.4,1.633,6.2,976.58,-3.6,79.71,0
2.7,5,1.7,981.84,-4.9,81.25,0
1.4,6.2,4.7,989.47,-0.5,77.17,0
1.1,9.083,2.2,989.45,0.5,74.63,0
1.9,3.833,3.6,996.18,0.5,87.04,0
1.4,9.317,3.1,997.67,2,76.29,0
2.5,9.567,2,996.68,4.5,64.08,0
3.5,9.833,0,993.04,6.1,59.08,0
1.8,9.8,0.8,989.32,6.2,65.21,0
2.6,9.95,2.8,985.57,8,48.96,0
3.2,9.367,1.9,982.14,8.7,51.17,0
1.1,7.35,5.4,986.2,4.1,82.42,0
5.5,8.517,4.2,997.55,5.3,63.88,0
5,10.367,1.3,997.61,6,32.25,0
5,10.35,2.5,997.49,8.7,40.33,0
3.7,10.05,2.3,994.8,10.4,47.38,0
2,5.833,4.4,980.28,20.3,79.96,1
3.9,3.333,5.9,973.79,21.3,74.88,1
3.5,0.35,6.9,979.58,15.2,90.83,1
1.8,7.433,4.1,982.31,13.5,78.63,1
1.5,4.033,6.2,981.39,12.7,88.54,1
1.8,2.8,6.6,979.54,13.9,83.04,1
2.5,2.233,6.9,981.48,18.3,79.54,1
5.2,1.75,6.6,981.22,15.9,79.46,1
5.9,0.35,6.8,971.85,14.7,74.46,1
5,1.2,6.3,964.07,13.3,86.54,1
2.6,3.733,5,968.95,11,89.83,1
6.1,3.117,5.8,965.81,12.3,84.33,1
5.8,2.183,6.4,972.63,12.5,82.75,1
7.5,0.5,7.5,970.33,12.5,94.17,1
7,2.25,6.3,971.85,10.5,92.04,1
3,4.3,4.5,976.03,10.2,87.04,1
1.5,7.017,3.9,974.88,8.6,91.33,1
1.7,3.167,5.5,976.07,9.3,89.42,1
2.3,1.35,6.9,978.83,9.8,93.71,1
2.6,2.333,6.7,980.92,10.3,93.83,1
