  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,  Bedeckungsgrad, Dampfdruck, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
8.2,2.7,0,0,3.3,18.9,978.76,21.5,74.79,28,16.3,13.8
5.7,2,1,0,4.4,18.7,980.28,20.3,79.96,25.4,15.6,13.1
7.2,2.8,0,0,2,17.5,980.89,21.1,72.33,27.8,15.8,14.5
6,2.3,0,0,1.2,17.2,977.66,22.1,67.25,29.9,15,11.4
10.8,3.9,1,0,5.9,18.8,973.79,21.3,74.88,26.2,17.2,14.9
12.5,3.5,1,0,6.9,15.8,979.58,15.2,90.83,18.4,9.8,7.5
8.7,1.8,1,0,4.1,11.8,982.31,13.5,78.63,20,6.8,5
10.1,1.5,1,0,6.2,12.9,981.39,12.7,88.54,17.4,9.3,7.6
4.1,1.2,0,0,6.3,12.5,979.65,12.1,89.71,18.5,9,7.9
6.2,1.8,1,0,6.6,13,979.54,13.9,83.04,19.8,8.5,6.4
7.7,2.5,1,0,6.9,16.7,981.48,18.3,79.54,23.3,13,11.8
13.2,5.2,1,0,6.6,14.4,981.22,15.9,79.46,18.7,12.7,11.7
7.9,3.1,0,0,6.3,12.3,980.1,14.1,77.25,18.3,10.6,8.7
14.2,5.9,1,0,6.8,12.4,971.85,14.7,74.46,18.1,11.4,10.2
11.8,5,1,0,6.3,13.2,964.07,13.3,86.54,15.9,8.1,5.1
7.2,2.6,1,0,5,11.7,968.95,11,89.83,17,6.4,4.4
16.1,6.1,1,0,5.8,12.1,965.81,12.3,84.33,16.9,10.5,8.8
13,5.8,1,0,6.4,12,972.63,12.5,82.75,16.5,10.1,8.6
20.6,7.5,1,0,7.5,13.8,970.33,12.5,94.17,18.3,10,8.6
17.3,7,1,0,6.3,11.7,971.85,10.5,92.04,13.1,8.3,6.2
8.7,3,1,0,4.5,10.7,976.03,10.2,87.04,15.4,5.2,2.5
10.6,1.5,1,0,3.9,10.1,974.88,8.6,91.33,15.9,3.3,2
7.4,1.7,1,0,5.5,10.4,976.07,9.3,89.42,15.1,4.2,2.4
9.3,2.3,1,0,6.9,11.3,978.83,9.8,93.71,13.9,7.5,5.3
10.1,2.6,1,0,6.7,11.7,980.92,10.3,93.83,14.6,6.2,3.6
6,1.8,1,0,4.9,10.9,984.33,9,94.71,14.9,4.8,2.2
6.5,2.2,0,0,4.1,10.6,982.86,11.1,82.08,18.5,4.9,2.3
5,1.3,0,0,5,11.7,983.12,12.7,81.33,19.8,6,2.7
6.7,2.1,0,0,3.4,12.4,984.52,13.5,81.83,19.6,9,5.7
5.8,2.3,0,0,1.5,12.6,983.76,12.8,86.21,19.4,7.3,3.9
7.7,3.2,0,0,1.8,12.3,982.16,12.7,84.54,19.1,7.9,4.7
5.7,1.9,0,0,3,12.7,983.53,13.2,84.63,19.7,8.2,4.8
4.6,1.5,0,0,2.5,12.8,985,13.6,83.58,20.3,7.7,4.2
7.7,2.3,1,0,6.9,14.8,985.94,15.9,82.71,21.4,10.6,8.6
6.3,1.8,1,0,6.7,16.1,983.97,17.6,81.54,23.3,14,12.3
12.2,2.9,1,0,7,14.5,980.5,13.3,94.29,17.5,7.1,4.9
6.9,1.9,1,0,7.2,11.5,983.81,11.7,84.96,16.8,8.3,8.2
11.7,5.6,1,0,7.6,14.7,979.96,13.2,95.71,15.4,10.8,10.2
10.3,4,0,0,5,11.8,982.93,11.5,87.33,15.5,6.2,3.9
11.3,3.4,0,0,6.8,10.5,986.43,9.9,87.21,14.3,5.8,3.7
15.1,5.9,1,0,3.7,11.2,979.3,9.9,91.88,14.2,4.8,1.6
11.3,3.6,1,0,4.9,9.9,983.58,7.9,93.25,11.8,4.7,1.1
12.2,4.6,1,0,7.3,9.7,984.03,8.3,89.21,11.9,4.1,1.2
8.9,3.6,1,0,7.4,12.3,980.54,11.1,93.29,14,8.8,8.5
5.7,1.8,1,0,6.8,12.1,982.76,11.1,91.83,15.2,8.6,6.7
8.7,3.8,1,0,7.5,13.3,981.65,11.8,95.71,15.7,9.6,8.6
7.7,3.4,0,0,6,13.2,981.95,12.6,90.54,16,9.6,7.9
11.3,4.4,1,0,6,13.5,985.5,13.2,89.42,17.5,10.4,7.4
