STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4336;20170924;   10;   5.8;   2.3;    3;   0.0;   0;    7.467;   0;   1.5;  12.6;  983.76;   12.8;   86.21;   19.4;    7.3;    3.9;eor
       4336;20170925;   10;   7.7;   3.2;    3;   0.0;   0;   10.300;   0;   1.8;  12.3;  982.16;   12.7;   84.54;   19.1;    7.9;    4.7;eor
       4336;20170926;   10;   5.7;   1.9;    3;   0.0;   0;    7.667;   0;   3.0;  12.7;  983.53;   13.2;   84.63;   19.7;    8.2;    4.8;eor
       4336;20170927;   10;   4.6;   1.5;    3;   0.0;   0;    8.733;   0;   2.5;  12.8;  985.00;   13.6;   83.58;   20.3;    7.7;    4.2;eor
       4336;20170928;   10;   7.7;   2.3;    3;   0.5;   6;    3.267;   0;   6.9;  14.8;  985.94;   15.9;   82.71;   21.4;   10.6;    8.6;eor
       4336;20170929;   10;   6.3;   1.8;    3;   0.1;   6;    7.183;   0;   6.7;  16.1;  983.97;   17.6;   81.54;   23.3;   14.0;   12.3;eor
       4336;20170930;   10;  12.2;   2.9;    3;   2.3;   6;    0.950;   0;   7.0;  14.5;  980.50;   13.3;   94.29;   17.5;    7.1;    4.9;eor
       4336;20171001;   10;   6.9;   1.9;    3;   0.9;   6;    5.633;   0;   7.2;  11.5;  983.81;   11.7;   84.96;   16.8;    8.3;    8.2;eor
       4336;20171002;   10;  11.7;   5.6;    3;  14.6;   6;    0.000;   0;   7.6;  14.7;  979.96;   13.2;   95.71;   15.4;   10.8;   10.2;eor
       4336;20171003;   10;  10.3;   4.0;    3;   0.0;   0;    5.717;   0;   5.0;  11.8;  982.93;   11.5;   87.33;   15.5;    6.2;    3.9;eor
       4336;20171004;   10;  11.3;   3.4;    3;   0.0;   0;    1.533;   0;   6.8;  10.5;  986.43;    9.9;   87.21;   14.3;    5.8;    3.7;eor
